id,name,country,age,premier,bundes,seriea,spain
21414,oscar trejo,Argentina,28,0,0,0,1
21446,hernanes,Brazil,31,0,0,1,0
21450,marc bertran,Spain,34,0,0,0,1
21613,nikola kalinic,Croatia,28,1,0,1,0
21785,esteban solari,Argentina,36,0,0,0,1
21849,chris mccann,Ireland,29,1,0,0,0
21853,dudley campbell,United Kingdom,34,1,0,0,0
21864,stephen quinn,Ireland,30,1,0,0,0
21982,raffaele schiavi,Italy,30,0,0,1,0
22045,lee tomlin,United Kingdom,27,1,0,0,0
22234,jose mari,Spain,37,0,0,0,1
22283,fabrizio cacciatore,Italy,29,0,0,1,0
22305,simone farelli,Italy,33,0,0,1,0
22313,elkin soto,Colombia,36,0,1,0,0
22337,leandro castan,Brazil,29,0,0,1,0
22355,lorenzo del prete,Italy,30,0,0,1,0
22386,stefano ferrario,Italy,31,0,0,1,0
22535,elson,Brazil,34,0,1,0,0
22543,radamel falcao,Colombia,30,1,0,0,1
22707,stanislav manolev,Bulgaria,30,1,0,0,0
22764,martin skrtel,Slovakia,31,1,0,0,0
22824,dusan svento,Slovakia,31,0,1,0,0
22832,lukas jarolim,Czech Republic,40,0,0,1,0
22928,glenn loovens,Netherlands,32,0,0,0,1
22959,luke varney,United Kingdom,34,1,0,0,0
22978,ross turnbull,United Kingdom,31,1,0,0,0
22984,ivan cordoba,Colombia,40,0,0,1,0
22988,mark hudson,United Kingdom,34,1,0,0,0
22991,ben watson,United Kingdom,31,1,0,0,0
22998,julian speroni,Argentina,37,1,0,0,0
23019,giles barnes,United Kingdom,28,1,0,0,0
23022,andrew dawson,United Kingdom,37,1,0,0,0
23023,ian ashbee,United Kingdom,40,1,0,0,0
23027,matt duke,United Kingdom,39,1,0,0,0
23030,damien delaney,United Kingdom,35,1,0,0,0
23034,craig fagan,United Kingdom,33,1,0,0,0
23036,ryan france,United Kingdom,35,1,0,0,0
23054,owen garvan,Ireland,28,1,0,0,0
23065,stephen crainey,United Kingdom,35,1,0,0,0
23069,frazer richardson,United Kingdom,33,1,0,0,0
23070,shaun derry,United Kingdom,38,1,0,0,0
23072,richard cresswell,United Kingdom,39,1,0,0,0
23091,richard stearman,United Kingdom,29,1,0,0,0
