"home_player_1","home_player_2","home_player_3","home_player_4","home_player_5","home_player_6","home_player_7","home_player_8","home_player_9","home_player_10","home_player_11","away_player_1","away_player_2","away_player_3","away_player_4","away_player_5","away_player_6","away_player_7","away_player_8","away_player_9","away_player_10","away_player_11"
25524,36183,27293,37787,30987,30668,34650,39106,33101,30764,30496,27313,27315,35606,28480,26368,30252,30706,27316,31235,37550,25366
27299,27461,68253,27301,30250,27483,38913,25773,26437,35997,30249,NA,36380,36390,25948,27412,14533,26472,71353,27306,40985,31936
30820,31290,30914,30902,37317,30530,19511,27324,30445,39902,15403,30648,37401,36146,27320,41559,38188,43211,30628,22535,27326,27642
27467,27472,27475,26383,27484,38863,36060,41923,80564,69864,37760,27518,30811,37380,35607,115670,118386,27349,39045,34400,25483,30854
36058,37201,39828,27451,27460,27462,36007,27418,47551,34262,30266,27424,30754,27492,128037,43210,27429,34681,49939,30937,31199,27556
26173,39810,97491,38215,23628,30789,114492,37321,33348,37249,38848,29303,36491,59582,27411,29543,147729,36775,36011,78990,36084,35411
31299,27607,39892,17312,39898,NA,30256,36051,33336,96209,30272,24104,27330,30819,30693,37332,27336,16300,31244,25819,29356,30886
37377,29631,37326,37383,37381,37387,37384,37389,34413,38206,37390,27358,30255,71399,36388,414794,40190,27365,27363,43319,36132,35990
27424,27427,27492,128037,43210,27429,34681,49939,30937,31199,27556,27284,30711,39774,33085,30894,30872,38843,25365,30924,30709,30638
27358,414794,71399,36388,94685,40190,27363,27365,36132,34102,35990,30820,30906,30914,30902,37317,31290,19511,27339,39902,27324,15403
30648,34113,36146,37401,38842,30628,34112,42346,34114,27326,40203,27299,27303,27461,27301,30250,27483,30251,38913,26437,35997,30249
35991,35989,35606,28480,26368,30252,30706,27316,31235,37550,25366,NA,27472,27475,26383,27484,41034,38863,36060,41923,69864,37760
24104,27330,30819,30693,37332,16300,27336,29356,25819,31244,30886,26173,36395,97491,38215,23628,36031,30789,114492,34045,38848,37249
31299,36051,39892,17312,43061,36008,NA,30256,42331,12246,30272,25524,36183,27293,37787,33338,30668,30749,34650,30987,33101,30496
27518,30811,25483,35607,115670,27349,27654,39045,34400,23819,30854,37377,29631,37326,37383,37381,37387,37388,37389,34413,94916,37390
NA,25948,36390,27412,NA,14533,26472,36057,27306,71353,31936,33339,9124,36090,42221,33285,39796,37733,26799,38828,39734,37558
29303,39841,59582,27411,38213,95574,36775,29622,78990,36084,35411,36058,37201,39828,27451,27452,27462,36007,27418,24138,34262,30266
27284,30711,39774,33085,30894,30872,38244,38843,30924,30638,30709,29303,39841,59582,27411,38213,36775,147729,78990,40176,36084,35411
27299,27303,68253,30704,27461,27483,30251,38913,30702,30249,26437,24104,30819,30693,45352,37332,29356,16300,27336,31244,25819,30886
30820,30906,30914,30902,37317,30530,19511,27339,39902,27324,15403,27518,27349,35607,25483,115670,27654,30821,39045,27352,30854,23819
NA,27472,27475,26383,27484,36060,38863,41923,80564,37760,69864,31299,36008,39892,28435,43061,NA,30256,42331,33336,12246,30272
36058,37201,39828,38170,27460,27462,36007,27418,71017,24138,30266,27358,20396,71399,36388,414794,40190,30255,27363,36132,34102,35990
26173,36395,97491,38215,23628,36031,30789,114492,34045,33348,38848,25524,36183,30668,37787,33338,39106,34650,30749,30987,30764,30496
33339,9124,36090,42221,33285,39796,37733,26799,38828,39734,37558,30648,34113,37401,36146,38842,42346,34114,30628,43211,40203,27642
36029,36380,25948,27412,58358,114025,14533,71353,36390,31936,39066,27424,27427,27492,128037,43210,27429,30937,34681,37151,27556,31199
37377,29631,38672,37383,37381,37384,37388,34413,94916,37389,37390,27313,35989,35606,28480,26368,30252,30706,27316,31235,37550,25366
27424,27427,27492,128037,43210,27429,34681,30937,37151,31199,27556,33339,9124,33082,42221,33285,37733,36090,26799,38828,39734,19674
25524,36183,27293,37787,33338,37156,30749,30987,39106,30496,30764,NA,27472,27475,30572,27484,41923,38863,36060,NA,37760,69864
27358,30255,71399,36388,414794,36132,40190,27363,34102,43319,35990,36029,36380,25948,26588,58358,114025,36390,29257,26472,71353,31936
30648,34113,36146,27320,27774,34114,42346,43211,30628,40203,27642,27284,30711,30459,39774,30894,30872,38244,30688,38843,30638,30709
27313,35989,35606,41927,27310,30706,147722,30697,36378,30827,27316,30820,30530,30914,30902,37317,30906,19511,27339,39902,27324,15403
24104,30819,25815,45352,37332,27336,16300,29356,31244,36788,30886,37377,25364,37383,38672,37381,36059,34413,37388,94916,37390,37389
38668,27607,39892,28435,39898,36051,30256,36008,42331,12246,30272,26173,36395,97491,38215,39810,27550,114492,36031,37321,38848,39805
27342,30811,35607,25483,115670,118386,30821,27352,39045,30854,34400,36058,37201,38170,36056,27460,27462,27418,71017,36007,30266,24138
29303,39841,59582,27411,38213,36775,95574,36011,40176,36084,35411,27299,27303,68253,30704,27461,27483,30251,38913,26437,35997,30702
25524,30668,27293,37787,30987,39106,37156,30749,38216,30496,33101,27284,35988,39774,30459,30894,30872,38244,38843,30924,30638,30709
27358,30255,20396,71399,414794,40190,27335,27363,27365,34102,35990,27424,27427,27492,30253,43210,27429,34681,49939,30937,31199,27556
30648,34113,36146,27320,41559,42346,43211,38188,30628,27326,40203,38793,24632,26588,25948,27412,36390,31187,27306,26472,31936,29257
27313,35989,35606,26545,26368,30706,42321,30697,36378,30827,37550,36058,37201,38170,36056,27451,27418,27462,36007,36091,47551,30266
24104,30819,25815,30693,37332,36130,31244,29356,30886,25819,36788,NA,95904,27471,27475,27472,36060,27484,27478,41923,69864,37760
26173,36395,39810,38215,27550,114492,30789,34045,147731,39805,37984,30820,31290,69923,30902,37317,30906,19511,27324,39902,30445,15403
31299,30434,39892,17312,43061,39843,33336,36051,42331,27514,12246,37377,25364,8932,37326,29631,33686,37387,94916,37385,38183,37389
27341,39834,35607,37380,115670,27349,25483,30821,27352,39045,30854,27299,27303,68253,27301,27461,30251,27307,30702,25773,26437,35997
30703,39841,59582,27411,38213,36775,147729,36011,29622,35996,35411,33339,9124,42221,33082,33285,40923,39796,26799,38828,45189,70610
27284,35988,39774,30459,30894,30872,38244,38843,30924,30638,30709,27358,30255,20396,71399,414794,40190,27335,27363,36132,34102,31718
27424,27427,30253,27492,43210,27429,34681,49939,30937,31199,27556,30648,34113,36146,27320,41559,42346,30628,38188,43211,27326,40203
27299,27303,68253,27301,27461,25773,27483,27307,26437,30702,35997,27313,35989,35606,28480,27310,30252,42321,30706,36378,30827,37550
30820,12330,30902,69923,37317,19511,31290,27324,39902,38372,15403,31299,30434,39892,17312,43061,39843,33336,36051,42331,12246,27514
NA,27472,27475,27471,95904,36060,41923,27484,27478,69864,37760,26173,36395,97491,38215,27550,30789,114492,37321,34045,39805,38848
36058,27451,38170,36056,27460,27418,27462,36007,36091,47551,30266,24104,38729,45352,30693,25815,37332,36130,31244,29356,25819,30886
33339,33285,42221,33082,9124,39796,40923,38828,39734,37558,70610,27341,39834,37380,35607,115670,27314,25483,27349,36072,30821,30854
38793,24632,27412,25948,58358,26472,31187,27306,29257,71353,31936,29303,39841,59582,27411,38213,147729,36775,36011,29622,35996,35411
37377,25364,8932,37326,29631,33686,38183,34413,94916,37385,37389,25524,30668,26778,37787,30987,30749,37156,39106,38216,33101,30496
25524,37156,37787,30668,25565,30598,30749,38216,39106,33101,30764,37377,29631,37326,36076,37381,37384,37388,NA,34413,37389,32788
36054,79737,71399,36388,94685,43319,36132,30707,27363,31718,35990,27284,35988,39774,33085,30894,27300,25365,38244,30872,30638,30709
30648,34113,36146,27320,38842,34112,34114,30628,43211,40203,27326,36147,27427,27492,128037,28081,27429,49939,34681,30937,31199,27556
27313,27315,28480,41927,27310,30252,30706,26257,36378,30827,25366,37322,27461,68253,27301,30250,57076,30251,27307,35997,30249,25773
24104,30819,45352,25815,37332,31244,16300,25819,36130,42297,36788,36058,37201,36056,27451,27460,27462,36007,27418,47551,24138,30266
26173,42184,97491,38215,27550,36395,30789,33348,38217,38848,39805,27467,27472,27475,26383,30912,27471,36060,41034,41923,69864,27481
31299,30434,39892,17312,43061,39843,33336,36051,30256,12246,30652,30820,30906,30914,30902,37317,31290,38606,19511,27324,39902,27339
27341,27349,NA,27286,25483,27351,39834,39045,34400,30854,39840,33339,9124,36090,33082,33285,40923,39796,36092,75467,26799,37558
42909,39841,40093,27411,59582,147729,36775,36011,78990,35411,36084,36029,36380,27425,27412,39997,NA,36390,71353,NA,29257,39066
25524,30668,26778,37787,33338,30749,34650,39106,30987,33101,30764,36058,37201,38170,39828,27452,27451,71017,27418,34262,47551,30266
27358,30255,71399,20396,414794,30707,27335,40190,36132,34102,31718,33339,9124,42221,33082,33285,39796,40923,39734,38828,37558,70610
27313,35989,35606,28480,27310,30252,30706,42321,36378,25366,37550,38793,24632,25948,27412,58358,114025,31187,29257,26472,27306,39066
24104,30819,103089,30693,37332,36130,27336,29356,30698,25819,30886,27284,35988,39774,30459,30894,30872,38244,38843,30924,30638,30709
NA,27472,27475,26383,95904,36060,41923,27484,27478,69864,37760,30820,12330,69923,30902,37317,19511,30530,38725,39902,27324,15403
