"season","home_player_1","home_player_2","home_player_3","home_player_4","home_player_5","home_player_6","home_player_7","home_player_8","home_player_9","home_player_10","home_player_11","away_player_1","away_player_2","away_player_3","away_player_4","away_player_5","away_player_6","away_player_7","away_player_8","away_player_9","away_player_10","away_player_11"
"2008/2009",33958,42310,37434,37440,99333,75474,74747,37448,75398,30897,18628,41466,30279,NA,38824,40599,38746,42479,37436,38699,38362,70297
"2008/2009",25563,28439,NA,33768,75196,24099,47193,33773,37429,24852,32764,33630,74743,75608,75395,74752,33887,33611,NA,38004,24383,34582
"2008/2009",30664,37413,30839,30689,34103,33632,25924,38492,30663,38460,37412,37579,33896,37581,33828,80497,35638,37512,32999,33892,38382,150644
"2008/2009",19435,34007,30752,37479,34008,30666,37824,32761,30448,41468,30909,46531,31303,33655,30750,115297,42173,33665,37422,25571,38889,38578
"2008/2009",96623,37597,33022,38065,2790,33586,33820,75192,6911,33729,39142,32678,24131,33849,30276,33861,37491,38160,31498,38398,25574,33028
"2008/2009",33986,70255,33812,33990,33848,37202,34000,95509,33992,34106,33989,32657,33988,30740,37482,30661,39854,36615,26146,30981,33639,30626
"2008/2009",33827,33843,5233,41707,38479,33666,102612,11758,43310,37450,45744,24591,72541,37718,33865,72542,33870,42369,38424,30907,30744,37497
"2008/2009",34382,37473,32675,37427,37468,41156,27420,37471,37461,37506,37469,30657,41470,30962,25921,28467,30878,18814,32765,30655,37576,42714
"2008/2009",33764,33025,33993,159881,154938,37605,37410,33866,30277,96619,33030,75195,75199,102614,75206,74435,150498,38008,75216,38550,97226,102002
"2008/2009",33018,33756,37451,34104,41167,33758,37449,38573,37441,31045,34956,33827,33843,5233,41707,38479,33666,102612,11758,43310,37450,32763
"2008/2009",74736,72541,37718,33865,38521,42369,33870,38424,33641,30907,96615,30990,37597,33022,38065,2790,33588,33820,75192,38471,33729,6911
"2008/2009",32678,38922,33849,30276,33893,38398,38160,31498,37411,25574,41718,33958,37434,42310,37440,37423,75474,37448,74747,30897,102572,18628
"2008/2009",41466,30279,38458,56678,40599,30958,38746,37436,37478,38699,70297,34382,37473,32675,37427,37468,41156,37471,27420,37461,38044,37469
"2008/2009",32657,33988,30740,30661,30738,39854,36615,33074,30981,30626,26169,19435,34007,34029,30994,34575,30666,38701,37824,32761,41468,30909
"2008/2009",75195,75199,102614,75206,74435,75216,38008,150498,97226,38550,102002,96613,74403,74404,6864,115229,75239,37419,5243,46384,11555,21785
"2008/2009",37579,33896,37581,80497,41196,37512,32999,33892,35638,38382,150644,33764,33025,33993,37604,96617,37410,30287,33866,96620,30277,33030
"2008/2009",46531,31303,33655,30750,115297,42173,37422,33665,25571,38889,38578,25563,28439,33768,38385,75196,16230,47193,37455,32766,37429,150330
"2008/2009",30657,30658,30962,34520,28467,30840,18814,32765,25759,30655,30834,33986,39562,33812,33990,33848,33759,31014,33991,30443,33992,33989
"2008/2009",33630,74743,75608,75395,74752,33887,33611,NA,38004,24383,34582,30664,37413,30839,30689,34103,33632,25924,38492,30663,37412,38460
"2008/2009",32657,33988,30740,30661,30738,39854,36615,33074,30981,33639,30626,30657,30658,30649,34520,30962,30878,32765,18814,42714,25759,30655
"2008/2009",33764,33025,33993,37604,154938,96619,37410,30277,33866,96620,33030,33630,74743,75608,75395,74752,33887,150480,97334,38004,NA,41294
"2008/2009",30664,33636,30839,30689,34103,33632,25924,38492,30663,37412,38460,46531,31303,33655,30750,37426,33665,42173,37422,25571,38889,38578
"2008/2009",96613,74403,6864,74404,37622,5243,37419,46384,38581,45605,75310,37579,33896,33828,37581,80497,37512,32999,97508,35638,38382,150644
"2008/2009",30990,37597,33022,38065,2790,33586,33820,75192,6911,33729,38471,33018,33756,37451,34104,41167,33758,37449,38573,37441,31045,34956
"2008/2009",33958,42310,37440,57057,99333,75474,37448,74747,30897,102572,18628,74736,72542,37718,33865,38521,42369,33870,72541,37507,30907,96615
"2008/2009",34382,37470,32675,37427,37468,37473,27420,41156,37461,38044,37469,32678,24131,30276,33849,33861,37491,38160,37631,37411,33028,38398
"2008/2009",33986,39562,33812,33990,30866,33759,31014,33991,30443,33992,33989,41466,33733,38458,56678,40599,37436,30958,38746,37478,38551,38362
"2008/2009",19435,34007,34029,30752,34008,30666,38701,37824,32761,41468,30909,25563,NA,33768,38385,75196,24099,18592,37455,24852,37429,150330
"2008/2009",33827,33843,25913,41707,38479,33666,102612,11758,32763,37450,43310,75195,75199,102614,75206,74435,38008,150498,97226,75216,74721,102002
"2008/2009",46531,31303,37667,30750,37426,37666,33655,30273,37422,38578,38889,33764,33021,33993,37604,154938,33866,37410,30287,30277,96620,33030
"2008/2009",38520,74743,75395,74739,74752,33887,78404,97334,38004,37425,34582,96613,74403,6864,74404,37622,5243,37419,46384,38581,75239,75310
"2008/2009",41708,33634,33828,37581,80497,35638,37512,33637,33892,38382,33891,33827,33843,25913,41707,38025,11758,102612,38151,37450,32763,43310
"2008/2009",33018,33756,37451,34104,41167,30271,37449,38573,37441,31045,37452,33958,42310,37440,37434,37423,75474,37448,74747,30897,102572,18628
"2008/2009",32678,24131,33849,33856,33861,38160,37631,38922,38398,37491,33028,33986,38148,33812,33990,33848,33759,31014,33991,30443,38139,34106
"2008/2009",41466,33733,38458,56678,40599,38746,30958,37436,37480,37478,38699,32657,33988,37482,30738,30661,39854,154257,26146,30981,33639,30626
"2008/2009",30657,30658,30649,34520,28467,30834,32765,18814,42714,30840,25759,19435,34007,34029,30752,34575,38701,30666,37824,32761,41468,30909
"2008/2009",25563,28439,33768,38385,45440,47193,24099,24852,33773,37429,150330,30664,33636,30903,30839,34103,33632,25924,38492,30663,37412,38460
"2008/2009",75195,75199,102614,75206,74721,38008,150498,75216,38550,97226,102002,30990,37597,33022,38065,2790,33586,33820,75192,38471,33729,39142
"2008/2009",74736,72541,37718,33865,38521,42369,33870,38424,33641,30907,96615,34382,37470,32675,42200,37468,37473,41156,27420,37461,38044,37474
"2008/2009",34382,37473,32675,37427,37468,41156,27420,37471,37461,37474,37469,33018,33756,37451,34104,41167,30271,37449,38573,37441,31045,37452
"2008/2009",33827,33843,25913,41707,38025,38151,102612,11758,43310,37450,45744,NA,75608,74739,74752,74751,150480,78404,NA,37425,24383,34582
"2008/2009",30990,37597,38065,75392,3316,33586,38431,75192,38471,33729,39142,37579,33634,37581,33828,80497,33892,33637,32999,35638,150644,38567
"2008/2009",33958,37434,37440,37423,38035,42310,74747,75398,38036,75474,102572,75195,75199,102614,75206,74435,38008,150498,75216,38550,74721,102002
"2008/2009",33986,33848,33812,33990,30866,33991,33759,31014,33992,33989,30443,74736,38534,37718,33865,38521,42369,26044,72541,37507,30907,108809
"2008/2009",32657,30661,30740,107930,30738,39854,36615,33074,26169,33639,30626,32678,24131,33849,33856,33861,38160,37631,38922,38398,37491,33028
"2008/2009",30657,30962,25921,34520,30670,30878,18814,23988,30834,36784,30655,41466,33733,38458,56678,40599,37436,30958,38746,37478,38699,37477
"2008/2009",19435,34007,34029,30994,34008,32761,30666,37824,37459,41468,30909,30664,33636,30839,30689,34103,30832,33871,25924,30663,37412,38460
"2008/2009",33764,33025,33993,37604,154938,96619,37410,30287,30277,96620,33030,25563,28439,33768,38385,45440,24099,47193,37455,33773,37429,24852
"2008/2009",96613,74403,74404,18501,37622,11555,5243,75239,38581,45605,75310,46531,31303,33655,30750,37426,33665,42173,37422,25571,38889,38578
"2008/2009",38520,74743,75395,33895,74752,78404,33611,97334,38004,24383,41294,30990,33022,75392,38065,2790,33586,33820,75192,6911,33729,38471
"2008/2009",30855,31303,30750,37667,37426,33655,42173,38889,25571,38578,18164,33827,33843,25913,41707,38479,38151,102612,37450,43310,38025,45744
"2008/2009",30664,37413,114044,30689,32656,33632,112758,38492,30663,37412,38460,33764,33025,33993,37604,96617,96619,37410,30287,33866,96620,33030
"2008/2009",25563,28439,33768,38385,45440,24099,47193,37455,33773,37429,24852,96613,74403,74663,18501,37622,37419,11555,75239,38581,45605,43329
"2008/2009",37579,33634,37581,33828,80497,35638,33637,32999,33892,150644,38567,33958,42310,37440,57057,99333,74747,38036,38035,75474,102572,75398
"2008/2009",75195,75199,38561,75206,74435,38008,150498,75216,38550,38526,102002,34382,37473,32675,37427,37470,41156,30468,37471,37461,37474,37469
"2008/2009",74736,72541,37718,33865,38521,38424,33870,42369,30907,26044,23853,32657,33988,37482,30661,30738,39854,154257,26146,30981,33639,30626
"2008/2009",37439,38922,33856,30276,33849,33861,37631,38160,31498,25574,38398,30657,30962,34520,25921,30670,30834,18814,23988,30878,30655,25759
"2008/2009",19435,30666,34029,30752,34008,32761,38701,37824,37459,41468,30909,41466,33733,38458,56678,40599,37436,38746,42479,38362,38699,38551
"2008/2009",33018,33756,37451,34104,41167,30271,37449,38573,37441,31045,37452,33986,38148,33812,38138,33848,34000,31014,33991,30443,33992,34106
"2008/2009",33764,33025,33993,33027,96617,33866,30287,37410,37408,96620,33030,19435,NA,30752,30994,34008,37824,30666,38701,41468,34231,30909
"2008/2009",96613,74403,74404,18501,37622,75239,11555,4902,45605,43329,75310,30664,33636,30903,30689,32656,38700,25924,30663,108568,37412,38460
"2008/2009",33827,37488,25913,5233,38479,38151,102612,11758,43310,37450,45744,25563,28439,33768,NA,45440,24099,150573,37455,18592,37429,24852
"2008/2009",30990,37597,33022,38065,3316,33586,33820,75192,6911,33729,39142,30855,31303,30750,2977,37426,33655,42173,37422,33665,33668,38578
"2008/2009",33958,42310,37440,37434,99333,38036,75474,74747,38035,75398,102572,38520,74751,75608,74739,74752,78404,33611,97334,38004,37425,34582
"2008/2009",75390,37470,32675,37427,37468,41156,27420,37471,37461,37474,37469,37579,33634,33885,33828,80497,35638,32999,37512,33892,38567,74213
"2008/2009",71498,70255,38138,33990,30866,33991,33759,30443,38139,34106,33989,75195,75199,75206,38561,74435,38008,150498,75216,38526,38550,102002
"2008/2009",32657,33988,30661,37482,30738,39854,36615,26146,30981,33639,30626,33018,33756,37451,34104,41167,30271,37449,37445,37441,31045,37452
"2008/2009",30657,30962,25921,34520,30670,30834,18814,23988,30878,30655,25759,74736,72541,33874,33865,38521,38424,33870,42369,30907,30744,23853
"2008/2009",41466,33733,NA,56678,40599,37436,42479,30958,38362,38699,38551,37439,24131,33856,33849,33861,37491,37631,38160,38922,37411,33028
