"home_player_1","home_player_2","home_player_3","home_player_4","home_player_5","home_player_6","home_player_7","home_player_8","home_player_9","home_player_10","home_player_11","away_player_1","away_player_2","away_player_3","away_player_4","away_player_5","away_player_6","away_player_7","away_player_8","away_player_9","away_player_10","away_player_11"
39477,24440,39721,26315,24443,24436,27731,39286,42003,39638,24448,27691,50074,74009,24792,39229,24854,22832,37541,39393,42664,30284
39510,39441,27785,41501,41865,39557,30920,49940,39738,27663,34531,42390,41930,39210,41869,39201,39190,39622,42579,42645,38762,27657
41243,27701,41874,39440,30285,31499,25595,30136,39203,42433,32749,30713,39422,39191,35112,37768,39367,31288,39207,33337,39488,32747
39323,34319,27721,24492,73845,41488,30940,35641,31304,27690,39752,34530,34952,26099,26098,30870,30721,30731,26096,41044,30743,46554
42422,27720,39643,27719,37515,25818,39644,39357,50047,41542,27734,39477,NA,39721,26315,24443,27731,42003,39286,32750,24436,24448
42702,39455,31214,37526,41760,41758,38368,41757,37767,30549,41413,41243,27701,39440,41874,30285,30136,25595,31499,42433,41749,32749
30989,34305,22984,30492,34304,30460,30930,30905,30724,NA,35724,42042,39569,32769,39509,39535,24546,56585,41658,41661,24624,18925
39566,30861,41412,41884,24791,41888,24132,41890,30725,38827,30727,39510,39441,27785,41501,41865,NA,30920,49940,39738,27663,39557
30713,39422,39191,39419,24622,39367,31288,34540,33337,32747,49677,34530,34534,34952,26099,30870,23688,30731,32751,26096,30743,46554
39351,31938,30453,41023,24130,27695,30682,39376,38822,38717,30714,24503,39729,24013,24504,39719,25772,33888,24507,31725,30881,39311
27691,50074,74009,24792,39229,24854,41754,37541,39393,42664,30284,39323,34319,27721,24492,73845,41488,30940,35641,31304,39752,27690
39599,24414,24412,39696,103266,24391,24405,39538,41326,39474,42091,27697,42388,24793,33414,8881,27672,27702,33706,32597,41862,32748
37503,39273,39274,18823,41387,42901,18816,56992,39706,37520,42696,27558,27566,21982,39185,41942,39428,39744,24457,39200,27598,24456
42390,41930,39210,41869,39201,39190,42579,42645,27599,38762,27657,25735,30474,25584,30918,43341,39444,39334,NA,25594,18506,25598
39477,NA,39721,26315,24443,24436,27731,42003,39286,24448,32750,39351,30996,30453,41023,24130,30747,30682,39376,33782,38822,30714
42390,41930,39210,41869,39201,39190,42579,42645,27599,38762,27657,42422,27720,39643,41318,37515,25818,39644,39357,39232,41542,50047
39510,39441,27785,41501,41865,39557,30920,49940,39738,27663,34531,41243,27701,114769,39440,30285,30136,31499,25595,41749,42433,32749
39599,24414,24412,39696,39763,24391,24405,39538,41326,42091,39474,30713,39422,39191,39419,24622,39367,31288,34540,33337,49677,32747
39323,34319,38943,27721,33413,73845,30940,37525,39555,39752,27686,24503,39621,24504,24013,24536,25772,33888,24507,31725,30881,39311
27697,42388,24793,33414,8881,39533,33706,39534,39539,32748,41862,42702,37526,27660,31214,41882,41760,41757,41758,26852,37767,30549
25735,25587,39331,30918,16351,33687,39334,39332,25594,25597,18506,30989,34305,22984,30492,34304,30460,30930,30905,30724,35724,NA
34530,34534,26098,26099,30870,30721,NA,23688,41044,31996,46554,37503,39274,39714,39541,41387,18816,42901,56992,39273,39706,37520
27558,21982,39726,39185,41942,39428,27598,41432,39200,41445,24456,39566,30861,41412,41884,24791,35643,24132,41890,30725,38827,96540
18558,41666,32769,27668,39535,41887,56585,41658,41661,24624,18925,27691,50074,74009,24792,39229,24854,41754,37541,39393,42664,30284
30713,39422,39191,39419,24622,39367,31288,34540,33337,49677,NA,27691,50074,74009,24792,39229,24854,41754,37541,39393,42664,30284
24503,39621,24504,24013,39719,25772,24502,24507,31725,30881,39311,37503,39274,39541,18823,41387,18816,42901,39267,42035,42696,96534
41243,41874,39440,114769,30285,19310,31499,25595,42433,32749,24848,39323,41488,27721,24492,33413,39555,30940,35641,34319,27690,27686
39566,30861,30736,41884,24791,35643,24132,41890,30725,38827,30727,34530,34534,26099,26098,30870,NA,30731,32751,26096,30743,46554
19344,31938,30453,41023,24130,30996,30682,30747,38822,30714,38717,39599,24414,24412,24403,39763,24391,24405,39222,41326,42091,96509
42422,27700,39643,41318,27720,25818,39644,37515,39232,39540,27734,25735,25581,25584,39331,43341,30474,33687,39334,NA,18506,25598
42042,32769,39569,27668,39535,41887,56585,41658,41661,35421,18925,27558,27566,21982,41942,42460,39428,27598,41432,39701,41445,24456
42702,39455,31214,37526,41760,41758,26852,41882,37767,30549,41413,42390,41930,39210,41869,39201,39190,42579,42645,27599,38762,27657
39510,39441,27678,41501,41865,30920,49940,39525,39557,27663,34531,27697,24484,24793,33414,8881,27672,33706,32597,39539,41862,32748
30989,34305,22984,30492,34304,30460,30930,30905,30724,24450,35724,39477,42008,26315,113762,24443,42581,42003,39286,24436,24409,24448
34530,39549,26099,26098,32752,26096,30731,30870,41044,30743,46554,42422,27669,27700,41318,37515,25818,39644,109298,39232,39540,27734
42390,41930,39210,18500,41869,39190,42579,42645,27599,38762,27657,39566,30736,41412,41884,24791,35643,24132,41890,41892,38827,30727
27691,50074,23947,24792,39229,24854,38938,37541,39393,42664,39559,30989,34305,22984,30492,34304,30460,30930,30905,39306,35724,108808
25735,25587,39331,25584,43341,30474,39334,33544,39332,25597,18506,30713,39422,35112,39419,24622,39367,31288,34540,33337,NA,32747
39323,38943,27721,33413,49543,39555,30940,37525,73845,27690,27686,42042,41666,39569,27668,39535,24546,41887,56585,41661,24624,35421
39599,24414,24412,39696,39763,24391,41326,39222,41404,39474,42091,39510,39441,27678,41501,41865,42482,30920,49940,39738,39502,27663
37503,39267,39274,39541,18823,56992,39699,42901,42035,39271,39706,39351,31938,30453,41023,24130,30747,30682,39376,38822,30714,38717
39477,NA,39721,26315,24443,24436,42003,42581,27731,24409,24448,42702,41882,27660,37526,41760,41757,26852,38368,40601,NA,27680
27697,42388,33414,18848,41667,39533,33706,39534,32597,41862,32748,24503,39621,24013,24504,39719,25772,33888,24507,31725,30881,39311
27558,21982,39726,39185,39200,39428,41432,39701,27598,42387,24456,41243,27701,39440,41874,39203,30136,27703,25595,42433,32749,41958
30713,39422,39191,35112,37768,39367,31288,34540,33337,49677,32747,42390,41930,39210,18500,39201,39190,42579,42645,27657,38762,38490
39510,39441,27678,41501,41865,42482,30920,39525,39738,34531,27663,25735,25587,39331,30918,43341,33687,39334,33544,25597,25598,18506
39351,31938,30453,41023,24130,30747,30682,39376,27695,38822,38717,34530,34534,26099,32752,30870,30612,30731,26096,41044,30743,46554
42422,27669,39643,41318,37515,25549,39644,39198,39232,39540,27734,27697,42388,24793,24484,33414,8881,39533,33706,39534,41862,32748
42042,32769,39569,27668,39535,41887,56585,41658,41350,35421,18925,37503,18823,39541,39714,39267,56992,42901,42035,39273,39271,39706
30989,30460,22984,30492,34304,30905,30930,27692,30696,35724,NA,39599,24414,24403,103266,39763,24391,24405,39222,41326,39474,42091
41243,27701,39440,41874,39203,30136,27703,25595,42433,32749,41958,39477,NA,113762,26315,24443,24436,42651,27731,39286,32750,24448
39566,30861,41412,30736,24791,35643,24132,41890,30725,38827,30727,39354,22355,24792,23947,39229,22832,38938,37541,39393,42664,42041
24503,39621,24013,24504,39719,25772,33888,24502,31725,30881,39311,27558,27566,41942,39185,42460,39428,41432,39701,27598,41445,24456
42702,27660,31214,37526,27684,41757,26852,41882,37767,NA,40601,39323,38943,27721,33413,49543,39555,30940,35641,31304,27690,27686
34530,34534,32752,26099,30870,30612,30731,32751,41044,26096,46554,27615,39621,24013,24504,39719,25772,33888,24507,31725,30881,92666
39204,39423,24492,38943,49543,34319,35641,42944,42634,39752,27686,19344,30996,30453,41023,24130,27695,30682,39376,37545,33782,38822
27697,24484,24793,33414,8881,33706,27702,39534,39539,24549,32748,30713,39422,35112,39419,24622,39207,31288,39367,33337,34540,49677
39354,50074,24792,23947,39229,24854,38938,37541,39393,42664,30284,39510,27678,41501,27785,41865,42482,30920,49940,39738,34531,27663
27558,27566,41942,39185,42460,39428,24457,39701,27598,41445,24456,42702,27660,31214,39455,41882,41760,26852,41757,27684,40601,NA
25735,30474,39331,30918,43341,33687,39334,33544,25597,25598,18506,39566,30736,41412,112476,24791,35643,24132,31739,30725,38827,30727
39477,42008,113762,26315,25479,24436,42651,27731,39286,32750,24448,41322,32769,39569,27668,39535,41887,56585,41658,41350,35421,18925
37503,18823,39541,39267,39714,18816,42901,56992,42035,39271,39706,41243,27701,39440,41874,39203,41749,31499,27703,41861,42433,32749
39599,24414,24412,39696,39763,24391,24405,39222,41326,42091,39474,42422,24970,39643,41318,39357,111862,39644,109298,25549,50047,41542
42390,41930,39210,41869,39201,39190,42579,42645,27599,27657,38762,30989,34305,22984,30928,34304,30460,30930,27692,30724,35561,35724
41243,27701,41874,41242,39203,30136,31499,27703,42433,24848,32749,42390,41930,39210,41869,39201,39190,27671,42579,42645,38762,27657
27691,74009,41378,24792,41878,24854,38938,37541,39393,39559,42041,39599,39694,39696,24403,39763,39222,39218,39538,41326,42091,96509
39510,27678,27785,39441,41865,39360,39525,49940,39738,39435,34531,39323,34319,38943,24492,33413,37525,27661,42944,31304,27686,27690
30713,39422,39191,39419,24622,33337,31288,39367,34540,32747,49677,39351,30996,27693,39206,24130,30682,37545,27695,27694,27696,38822
42042,32769,27668,39509,39535,41887,56585,41658,41350,18925,35421,24503,39729,39658,39304,33816,24502,24459,24507,31725,30881,39311
27558,27566,39726,39185,45244,27598,24457,39200,39701,42387,24456,24454,24440,39721,39702,24443,27731,42581,39286,24436,24448,42582
25735,30474,39731,30918,16351,39444,39334,33544,25594,18506,25597,35644,24484,24793,18848,8881,33706,27702,39534,39539,39533,32748
30717,30861,30736,41884,41892,41888,24132,32937,30725,38827,30712,42422,27669,39643,37515,27720,25818,39644,39357,39232,39540,27734
30989,34305,30928,30716,34304,30696,34942,30905,38239,35724,108808,37503,18823,39274,39541,39714,56992,18816,42035,96534,42696,39706
42702,27660,31214,41882,27684,41758,41757,27680,37767,30549,39495,34530,34534,26099,34952,32752,23688,30731,32751,30743,41044,31996
42702,27660,31214,37526,27684,41758,26852,41882,37767,30549,40601,37503,18823,39541,39274,37768,42901,56992,39699,96534,39706,37520
27691,50074,24792,23947,39229,24854,38938,37541,39393,42041,39559,42390,41930,39210,41869,39201,39190,42579,42645,27599,38762,27657
25735,30474,39331,30918,16351,39444,39334,25594,25597,25598,18506,39599,18923,24412,39696,24414,39222,24405,41404,42091,39474,41411
39510,39441,27678,27785,41865,42482,30920,49940,39557,27663,34531,39477,42008,39721,26315,24443,24436,42651,39286,27731,32750,24448
30717,30861,30736,41412,41892,35643,31739,41890,30725,38827,30727,24503,39729,24504,24013,24536,33816,33888,24507,31725,30881,92666
41243,27701,41874,39440,39203,27703,25595,41749,42433,41861,32749,34530,34534,30890,26099,32752,30612,30731,32751,41044,26096,46554
41322,41666,32769,27668,39535,41887,56585,24546,41661,24624,18925,39351,31938,30453,41023,24130,27695,30682,39376,37545,38717,38822
30989,34305,30492,27692,150466,30460,30930,30905,30724,39349,30690,27697,24493,27702,24793,41667,27672,33706,39534,39539,39533,24549
27558,27566,39185,41942,42460,39428,39744,39200,27598,41445,24456,39323,39423,27721,38943,49543,30940,27661,42944,39555,31304,27690
30713,39422,35112,39191,24622,39367,31288,34540,33337,49677,NA,42422,109298,24970,27719,37515,25818,39644,111862,39232,39540,50047
39351,30996,30453,41023,24130,30747,30682,39376,27694,30714,38717,30713,39422,39191,39419,41341,39207,31288,39367,33337,34540,49677
24503,39621,39729,24504,33816,24502,33888,24507,31725,30881,92666,41322,32769,39569,39509,39535,41887,24546,41309,41350,24624,18925
39477,NA,113762,39721,24443,24436,42651,39286,42003,32750,24448,27558,27566,39185,41942,42460,41432,24457,39200,27598,41445,24456
39323,39208,39423,33413,49543,39555,37525,31304,27686,42944,27690,39510,27678,27785,41501,11049,30920,39738,41865,39557,27663,34531
27697,41667,24484,24793,8881,39533,27702,32597,39539,32748,41862,56829,30474,39731,25584,43341,33687,39334,33544,25594,25598,25597
42422,24970,39643,41318,39357,25818,39644,111862,109298,39540,27734,30717,30861,30736,41412,24791,35643,24132,41890,30725,38827,96540
37503,18823,39714,39274,37768,96534,39699,42035,39271,37520,39706,30989,34305,22984,30928,150466,30460,30930,30905,30724,35724,NA
34530,34534,26099,32752,30870,30612,30731,32751,26096,41044,46554,42702,27680,27660,37526,27684,41758,41757,41882,26852,30549,37767
42390,41930,39210,41869,39201,39190,27671,42579,27599,38762,27657,41243,27701,39440,30285,41874,42433,27703,31499,56593,32749,40165
39313,24414,24412,24403,39763,39222,24405,24391,41326,39474,42091,27691,50074,41378,23947,41878,22832,24854,37541,39393,42664,30284
41243,27701,41874,39440,39203,25595,31499,41861,41749,40165,32749,24503,39621,39304,24504,39719,25772,33888,24507,31725,30881,39311
18558,32769,39569,27668,39535,41887,56585,41658,41350,35421,18925,42422,24970,27669,39643,37515,109298,25818,39644,111862,39540,27734
39510,27678,27785,41501,11049,30920,39557,39738,41865,39435,34531,39351,30996,30453,41023,39410,27695,30682,39376,37545,33782,27696
42702,27660,31214,37526,38368,41758,41757,41882,37767,30549,40601,30713,39422,39191,35112,39419,39367,31288,34540,33337,49677,104434
30989,34305,22984,30928,150466,30460,30930,34304,30724,35724,NA,39323,39208,38943,39423,49543,39555,30940,37525,34319,27690,31304
56829,25587,39731,30918,43341,39444,39334,41629,33544,25597,18506,34530,34534,30890,34952,30870,30612,30731,32751,26096,41044,46554
30717,30736,41412,41884,24791,35643,24132,31739,30725,38827,30727,39599,24414,24403,39696,39763,24391,24405,39222,41326,39474,42091
39170,41930,39210,41869,39201,39190,27671,42579,42645,38490,27657,37503,18823,39541,39274,37768,39699,42901,56992,96534,37520,39706
27691,50074,24792,23947,39229,24854,38938,22832,39393,30284,39559,27558,27566,39726,41942,42460,41432,39701,39200,27598,41445,24456
39477,42008,113762,26315,24443,42003,42581,42651,24436,24448,32750,27697,41667,24793,24484,33706,39533,27702,32597,39539,24549,32748
27697,41667,24793,24484,27672,33706,39534,39539,41862,32748,24549,27691,50074,24792,23947,41878,24854,41754,37541,39393,42664,42041
30713,39422,35112,39419,24622,39207,39367,34540,33337,49677,32747,18558,39535,32769,27668,39509,41887,56585,41309,41658,18925,35421
39351,30996,30453,41023,39410,27695,30682,39376,30747,30714,38717,42702,27660,31214,37526,41882,38368,26852,41757,37767,30549,40601
39599,24414,24412,39696,39763,24391,24405,39222,41326,42091,39474,39170,41930,39210,41869,39201,39190,42579,27671,42645,38762,27657
34530,34534,34952,26099,30870,30612,23688,32751,30743,41044,46554,39510,27678,27785,41501,11049,49940,39557,39738,41865,39435,34531
24503,39729,39304,24504,39719,25772,33888,24502,24507,30881,39311,56829,25587,25584,30918,16351,39444,39334,41629,39332,25597,18506
42422,24970,39643,41318,37515,109298,25818,39644,111862,41542,27734,41243,25581,39440,114769,30285,42433,25595,31499,41861,40165,32749
37503,39314,18823,39274,37768,39267,39699,56992,42035,39271,39706,30717,30861,30736,41412,24791,41888,24132,30871,30725,38827,30712
27558,27566,39726,39185,41942,39701,19436,39200,41445,41384,24456,30989,34305,30928,30716,150466,30460,30930,30905,30696,30724,35724
39323,39423,38943,27721,73845,39555,30940,37525,34319,31304,39752,39477,42008,113762,26315,24443,24436,42651,39286,27731,39337,24448
39170,41930,41536,41869,39201,39190,42579,27599,42645,38762,27657,39351,27720,30453,41023,39410,30747,30682,39376,37545,30714,38717
30717,30861,41412,30736,24791,41888,30871,32937,30725,38827,30727,27697,41667,24793,24493,8881,33706,27702,39534,39539,24549,32748
27691,50074,24792,23947,39229,24854,38938,37541,42664,27686,30284,42422,27669,39643,27719,39357,25818,25549,111862,39232,39540,27734
56829,30474,25584,39731,16351,39444,33687,41629,25597,39332,25598,39323,41488,39423,27721,33413,37525,30940,27661,39555,31304,39211
42702,27660,31214,37526,41760,26852,41757,41882,27684,30549,41413,24503,39621,39304,24504,39719,25772,24502,24507,92666,30881,39311
39477,42008,113762,25479,24443,42581,42651,24436,27731,39337,24448,37503,39314,18823,39274,37768,18816,42035,39699,56992,39267,39271
18558,32769,39569,27668,39535,24546,56585,18705,41350,35421,18925,41243,27701,114769,39440,30285,42433,25595,27703,31499,39203,32749
39510,39441,27785,41501,11049,30920,49940,39738,41865,39435,34531,30713,39422,35112,39419,24622,39426,31288,39207,33337,49677,32747
30989,34305,30492,27692,150466,30460,30930,30905,30724,35724,30690,34530,34534,26099,26098,30870,30612,30731,32751,26096,30743,46554
39599,24414,39696,24403,39763,24391,24405,39538,41326,39474,42091,27558,27566,39726,39185,42460,19436,24457,39200,27598,41445,42387
18558,41666,32769,27668,39535,41887,56585,41658,41350,35421,18925,42702,39455,31214,37526,41760,26852,41758,41882,27684,30549,41413
39351,27720,30453,41023,24130,37545,39376,30996,38822,27695,30714,27691,50074,24792,23947,39229,22832,38938,37541,39393,39559,30284
39323,39423,27721,33413,73845,39555,30940,27661,42944,39495,27690,35626,24970,41318,27719,39357,109298,39644,25549,39232,41542,27734
27697,24493,24484,33414,41667,33706,27702,39534,39539,24549,32748,39170,41930,18500,41869,39201,39190,27671,39622,42645,38762,27657
41243,27701,114769,39440,30285,42433,25595,31499,27703,39203,32749,30989,34305,22984,50055,150466,30460,30930,34304,30905,30690,35724
24503,39729,24013,24504,39719,25772,33888,24507,92666,30881,39311,39477,42008,26315,113762,24443,42003,42581,39286,27731,24448,39337
30713,39422,35112,39419,24622,39367,31288,34540,33337,49677,32747,30717,30861,41412,41884,24791,41888,24132,30871,30725,30728,30712
27558,27566,39726,39185,42460,39701,19436,39200,27598,42387,24456,56829,30474,39731,25584,16351,39444,39334,41629,39332,18506,25597
34530,34534,34952,26099,32752,23688,30731,30870,30612,26096,30729,39599,24414,24403,24412,18923,24391,24405,39222,41326,39474,42091
37503,39314,18823,39274,37768,56992,18816,42035,39271,37520,39706,50669,39441,27785,41501,27678,30920,39557,49940,41865,39435,34531
39170,41930,41536,41869,39201,39190,39622,27671,42645,31207,42696,39477,42008,113762,26315,24443,24436,39286,27731,39264,24448,39337
35626,24970,39643,27719,37515,109298,25818,111862,39232,41542,50047,27558,21982,39185,41942,17836,39428,19436,39701,39200,42325,24456
27691,50074,24792,23947,39229,24854,38938,37541,39393,42664,30284,42702,27660,31214,37526,41760,26852,41757,41882,27684,30549,40601
27697,24493,24484,33414,41667,33706,27702,39534,39539,24549,32748,34530,34534,34952,30890,39549,30612,23688,30731,30870,26096,46554
56829,25587,39731,25584,16351,39444,39334,41629,39332,25597,18506,41243,25581,41874,114769,30285,42433,25595,27703,31499,56593,32749
30717,30861,41412,41884,24791,35643,32937,41890,96540,30728,30727,18558,41666,32769,27668,41337,24546,41887,41658,41350,35421,18925
50669,39441,27785,27678,11049,49940,39738,41865,42482,39557,34531,24503,39729,24013,39304,39719,24502,33888,24507,24453,27705,39311
30989,34305,22984,30928,150466,30460,30930,34304,30724,30690,108808,39351,27720,30453,27693,24130,37545,30682,27695,39376,38717,38822
